"color","display_id","icon","id","image","keywords","name","conversion","pini","pini_class","weight"
"#17BCEF",NA,"/static/img/icons/sitc/sitc_10.png","10",NA,NA,"Machinery",NA,NA,NA,NA
"#17BCEF","5722","/static/img/icons/sitc/sitc_10.png","105722",NA,"fuses, caps, igniters, detonators","Initiating Devices","3603",42.1771,3,1427330032
"#17BCEF","5838","/static/img/icons/sitc/sitc_10.png","105838",NA,NA,"Polymerization Ion Exchangers","3914",35.0459,1,945863274
"#17BCEF","6250","/static/img/icons/sitc/sitc_10.png","106250",NA,NA,"Rubber tires, tire cases, inner and flaps, for wheels of all kinds",NA,NA,NA,NA
"#17BCEF","6251","/static/img/icons/sitc/sitc_10.png","106251",NA,"pneumatic, tyres, rubber","Car Tires","4011",39.4953,2,37311688020
"#17BCEF","6280","/static/img/icons/sitc/sitc_10.png","106280",NA,NA,"Other articles of rubber",NA,NA,NA,NA
"#17BCEF","6282","/static/img/icons/sitc/sitc_10.png","106282",NA,"conveyor, elevator","Transmission Belts","4010",39.549,2,4979756746
"#17BCEF","6289","/static/img/icons/sitc/sitc_10.png","106289",NA,"hardened, unhardened","Miscellaneous Rubber","4016",39.2136,2,23596389482
"#17BCEF","6352","/static/img/icons/sitc/sitc_10.png","106352",NA,NA,"Casks and Barrels","4416",38.745,2,832093725
"#17BCEF","6418","/static/img/icons/sitc/sitc_10.png","106418",NA,"paperboard, impregnated, rolls, sheets, tarred, asphalted, resins","Coated Paper","4809",35.7395,1,24398557477
"#17BCEF","6572","/static/img/icons/sitc/sitc_10.png","106572",NA,"non-woven fabric, filters, gowns, textiles, pillows, medical","Bonded Fiber Fabrics","5603",39.0654,2,13797249280
"#17BCEF","6577","/static/img/icons/sitc/sitc_10.png","106577",NA,"wadding, wicks","Textiles Fabrics for Machinery","5601",39.7184,2,6612977979
"#17BCEF","6631","/static/img/icons/sitc/sitc_10.png","106631",NA,"grindstones","Polishing Stones","6804",37.3258,1,3954074459
"#17BCEF","6632","/static/img/icons/sitc/sitc_10.png","106632",NA,"wool, asbestos, ceramic","Abrasive Powder","6805",37.0494,1,3920363936
"#17BCEF","6645","/static/img/icons/sitc/sitc_10.png","106645",NA,NA,"Unworked Cast Glass","7003",40.3595,2,1846801995
"#17BCEF","6647","/static/img/icons/sitc/sitc_10.png","106647",NA,"toughened, laminated","Safety Glass","7007",38.9151,2,8971149354
"#17BCEF","6731","/static/img/icons/sitc/sitc_10.png","106731",NA,"steel, rod, high carbon, alloy, stainless, heat-resistant","Iron Wire","7213",40.6883,2,15320541730
"#17BCEF","6760","/static/img/icons/sitc/sitc_10.png","106760",NA,"rails, iron, steel","Metal Railway Material","7302",37.2013,1,3847903176
"#17BCEF","6781","/static/img/icons/sitc/sitc_10.png","106781",NA,NA,"Iron Pipes","7303",45.0343,3,1588116600
"#17BCEF","6782","/static/img/icons/sitc/sitc_10.png","106782",NA,"pipes, blanks, steel","Seamless Iron Tubes","7304",39.5195,2,15569886596
"#17BCEF","6784","/static/img/icons/sitc/sitc_10.png","106784",NA,NA,"High-pressure hydro-electric conduits of steel",NA,NA,NA,NA
"#17BCEF","6785","/static/img/icons/sitc/sitc_10.png","106785",NA,"pipes, fittings, steel","Iron Tubes","7307",38.7003,2,16964010724
"#17BCEF","6793","/static/img/icons/sitc/sitc_10.png","106793",NA,"stampings","Iron and Steel Forging","7326",39.5931,2,4589428324
"#17BCEF","6832","/static/img/icons/sitc/sitc_10.png","106832",NA,"alloys","Worked Nickel","7507",37.8549,1,5111614961
"#17BCEF","6940","/static/img/icons/sitc/sitc_10.png","106940",NA,"nails, screws, nuts, bolts, rivets, tacks, hook-nails, spike cramps, studs, cotters, washers","Fasteners","7415",37.1958,1,32984668891
"#17BCEF","6950","/static/img/icons/sitc/sitc_10.png","106950",NA,NA,"Tools for use in machines or by hand",NA,NA,NA,NA
"#17BCEF","6954","/static/img/icons/sitc/sitc_10.png","106954",NA,"tips, blades, hand, power, machine, knives, cutting blades, carbide","Interchangeable Tool Parts","8209",37.5518,1,28623264887
"#17BCEF","6975","/static/img/icons/sitc/sitc_10.png","106975",NA,NA,"Miscellaneous Indoors Sanitary Ware of Base Metal","7324",38.6132,1,4068558162
"#17BCEF","6991","/static/img/icons/sitc/sitc_10.png","106991",NA,"locks, padlocks, safes, mountings, hat-racks, brackets","Locksmith Hardware","8301",37.3689,1,41986854236
"#17BCEF","6992","/static/img/icons/sitc/sitc_10.png","106992",NA,NA,"Metal Chains","7315",37.3616,1,4923254512
"#17BCEF","6994","/static/img/icons/sitc/sitc_10.png","106994",NA,NA,"Metal Springs","7320",41.1398,2,6165932321
"#17BCEF","7000","/static/img/icons/sitc/sitc_10.png","107000",NA,NA,"Machinery and transport equipment",NA,NA,NA,NA
"#17BCEF","7100","/static/img/icons/sitc/sitc_10.png","107100",NA,NA,"Power generating machinery and equipment",NA,NA,NA,NA
"#17BCEF","7120","/static/img/icons/sitc/sitc_10.png","107120",NA,NA,"Steam engines, turbines",NA,NA,NA,NA
"#17BCEF","7126","/static/img/icons/sitc/sitc_10.png","107126",NA,NA,"Steam Power Units","8406",40.0566,2,1567616050
"#17BCEF","7129","/static/img/icons/sitc/sitc_10.png","107129",NA,"power","Miscellaneous Parts of Steam Power Units",NA,36.7801,1,4290215017
"#17BCEF","7130","/static/img/icons/sitc/sitc_10.png","107130",NA,NA,"Internal combustion piston engines and parts",NA,NA,NA,NA
"#17BCEF","7132","/static/img/icons/sitc/sitc_10.png","107132",NA,"internal combustion, reciprocating","Motor Vehicles Piston Engines",NA,39.1881,2,64067837969
"#17BCEF","7133","/static/img/icons/sitc/sitc_10.png","107133",NA,"ships","Internal Combustion Engines for Boats","8408",36.582,1,6518894168
"#17BCEF","7138","/static/img/icons/sitc/sitc_10.png","107138",NA,NA,"Miscellaneous Combustion Engines",NA,39.5693,2,14951139933
"#17BCEF","7139","/static/img/icons/sitc/sitc_10.png","107139",NA,"cylinder, spark plug, valves, pistons, piston rings, connecting rod, crankshaft, sump","Piston Engine Parts",NA,40.884,2,62559112960
"#17BCEF","7140","/static/img/icons/sitc/sitc_10.png","107140",NA,NA,"Non-electric engines and motors",NA,NA,NA,NA
"#17BCEF","7160","/static/img/icons/sitc/sitc_10.png","107160",NA,NA,"Rotating electric plant and parts thereof, nes",NA,NA,NA,NA
"#17BCEF","7161","/static/img/icons/sitc/sitc_10.png","107161",NA,"generators, direct current","DC Motors",NA,35.9492,1,21345763353
"#17BCEF","7162","/static/img/icons/sitc/sitc_10.png","107162",NA,"alternating current, internal combustion piston engines","Electric Motors and AC Generators","8502",38.5547,1,48061113459
"#17BCEF","7163","/static/img/icons/sitc/sitc_10.png","107163",NA,"mechanical, rectifier, inverter, AC, DC, power, electricity","Rotary Converters",NA,37.2351,1,138754043
"#17BCEF","7169","/static/img/icons/sitc/sitc_10.png","107169",NA,NA,"Miscellaneous Rotating Electric Plant Parts","8503",36.6826,1,16575841728
"#17BCEF","7187","/static/img/icons/sitc/sitc_10.png","107187",NA,"tubines, fission, power plants, electricity","Nuclear Reactors","8401",38.2438,1,3652743705
"#17BCEF","7188","/static/img/icons/sitc/sitc_10.png","107188",NA,"motors, water turbines, hydraulic engines, waterwheels, regulators","Miscellaneous Engines","8410",36.3788,1,18693242407
"#17BCEF","7200","/static/img/icons/sitc/sitc_10.png","107200",NA,NA,"Machinery specialized for specific industries",NA,NA,NA,NA
